UNITID,XLINE_10,LINE_10,XLINE_45,LINE_45,XLINE_50,LINE_50,XLINE_55,LINE_55,XLINE_11,LINE_11,XLINE_30,LINE_30,XLINE_51,LINE_51,XLINE_52,LINE_52,XPGLIN10,PGLIN10,XPGLIN45,PGLIN45,XPGLIN50,PGLIN50,XPGLIN11,PGLIN11,XSSLIN10,SSLIN10,XSSLIN45,SSLIN45,XSSLIN50,SSLIN50,XSSLIN11,SSLIN11,XNRLIN10,NRLIN10,XNRLIN45,NRLIN45,XNRLIN50,NRLIN50,XNRLIN11,NRLIN11 
447917,"R",22,"R",0,"R",22,"R",19,"R",19,"R",0,"R",0,"R",3,"R",15,"Z",0,"R",15,"R",13,"R",1,"Z",0,"R",1,"R",1,"R",6,"Z",0,"R",6,"R",5
447962,"R",139,"R",1,"R",138,"R",28,"R",70,"R",0,"R",10,"R",58,"R",121,"R",1,"R",120,"R",56,"R",15,"R",0,"R",15,"R",12,"R",3,"R",0,"R",3,"R",2
447971,"R",121,"R",0,"R",121,"R",78,"R",103,"R",5,"R",0,"R",13,"R",91,"Z",0,"R",91,"R",78,"R",21,"Z",0,"R",21,"R",21,"R",9,"Z",0,"R",9,"R",4
447980,"R",18,"R",0,"R",18,"R",12,"R",12,"R",0,"R",0,"R",6,"R",18,"Z",0,"R",18,"R",12,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
448017,"R",162,"R",0,"R",162,"R",65,"R",139,"R",0,"R",0,"R",23,"R",82,"Z",0,"R",82,"R",76,"R",39,"Z",0,"R",39,"R",35,"R",41,"Z",0,"R",41,"R",28
448044,"R",6,"R",0,"R",6,"R",3,"R",3,"R",0,"R",0,"R",3,"R",3,"Z",0,"R",3,"R",2,"R",1,"Z",0,"R",1,"R",0,"R",2,"Z",0,"R",2,"R",1
448071,"R",73,"R",0,"R",73,"R",2,"R",56,"R",0,"R",0,"R",17,"R",35,"Z",0,"R",35,"R",28,"R",12,"Z",0,"R",12,"R",12,"R",26,"Z",0,"R",26,"R",16
448123,"R",240,"Z",0,"R",240,"R",90,"R",160,"R",0,"R",0,"R",80,"R",235,"Z",0,"R",235,"R",156,"R",0,"Z",0,"R",0,"R",0,"R",5,"Z",0,"R",5,"R",4
448196,"R",53,"R",0,"R",53,"R",31,"R",44,"R",0,"R",0,"R",9,"R",15,"Z",0,"R",15,"R",7,"R",2,"Z",0,"R",2,"R",1,"R",36,"Z",0,"R",36,"R",36
448220,"R",36,"R",1,"R",35,"R",8,"R",25,"R",0,"R",0,"R",10,"R",19,"R",0,"R",19,"R",13,"R",3,"R",0,"R",3,"R",2,"R",14,"R",1,"R",13,"R",10
